EMPRESA_SIGLA,EMPRESA_NOME,EMPRESA_NACIONALIDADE,ANO,MÊS,AEROPORTO_DE_ORIGEM_SIGLA,AEROPORTO_DE_ORIGEM_NOME,AEROPORTO_DE_ORIGEM_UF,AEROPORTO_DE_ORIGEM_REGIÃO,AEROPORTO_DE_ORIGEM_PAÍS,AEROPORTO_DE_ORIGEM_CONTINENTE,AEROPORTO_DE_DESTINO_SIGLA,AEROPORTO_DE_DESTINO_NOME,AEROPORTO_DE_DESTINO_UF,AEROPORTO_DE_DESTINO_REGIÃO,AEROPORTO_DE_DESTINO_PAÍS,AEROPORTO_DE_DESTINO_CONTINENTE,NATUREZA,GRUPO_DE_VOO,PASSAGEIROS_PAGOS,PASSAGEIROS_GRÁTIS,CARGA_PAGA_KG,CARGA_GRÁTIS_KG,CORREIO_KG,ASK,RPK,ATK,RTK,COMBUSTÍVEL_LITROS,DISTÂNCIA_VOADA_KM,DECOLAGENS,CARGA_PAGA_KM,CARGA_GRATIS_KM,CORREIO_KM,ASSENTOS,PAYLOAD,HORAS_VOADAS,BAGAGEM_KG
1ED,SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S,ESTRANGEIRA,2025,4,SBEG,MANAUS,AM,NORTE,BRASIL,AMÉRICA DO SUL,SKBO,BOGOTÁ,,,COLÔMBIA,AMÉRICA DO SUL,INTERNACIONAL,IMPRODUTIVO,0,0,0,0,0,0,0,0,0,0,1787,1,0,0,0,0,0,"2,5",0
1ED,SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S,ESTRANGEIRA,2025,4,SBEG,MANAUS,AM,NORTE,BRASIL,AMÉRICA DO SUL,SYCJ,GEORGETOWN,,,GUIANA,AMÉRICA DO SUL,INTERNACIONAL,IMPRODUTIVO,0,0,0,0,0,0,0,0,0,0,1079,1,0,0,0,0,0,"1,533",0
1ED,SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S,ESTRANGEIRA,2025,4,SKBO,BOGOTÁ,,,COLÔMBIA,AMÉRICA DO SUL,SBEG,MANAUS,AM,NORTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,NÃO REGULAR,22,0,0,0,0,89350,39314,8935,3538,0,1787,1,0,0,0,50,5000,"2,65",0
1ED,SERVICIOS AÉREOS PANAMERICANOS LTDA. SARPA S.A.S,ESTRANGEIRA,2025,4,SYCJ,GEORGETOWN,,,GUIANA,AMÉRICA DO SUL,SBEG,MANAUS,AM,NORTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,NÃO REGULAR,58,0,0,0,0,107900,62582,10790,5632,0,2158,2,0,0,0,100,10000,"4,783",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,1,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,5231,257,81807,0,1648,55161300,44039800,10607900,4666170,0,235732,28,688733000,0,13874500,6552,1260000,"284,152",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,1,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,7541,286,173929,0,1258,72835700,62168000,11500400,7039340,0,255564,31,1433870000,0,10371000,8835,1395000,"313,086",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,1,KJFK,"NEW YORK, NEW YORK",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,7348,247,30108,0,3490,65170900,56792700,10782000,5371010,0,239599,31,232705000,0,26974200,8432,1395000,"294,467",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,1,KJFK,"NEW YORK, NEW YORK",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,8017,158,200956,0,5713,67711400,61442300,10691300,7113700,0,237584,31,1540130000,0,43784400,8835,1395000,"293,618",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,1,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,10713,303,106360,66,4983,77957500,71959200,14206500,7224200,0,315699,47,714420000,443322,33470800,11606,2115000,391,0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,1,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,23928,619,630962,0,3443,174080000,157303000,29944600,18327800,0,611382,93,4147950000,0,22634300,26480,4555000,"784,219",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,1,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,6315,247,8546,0,2,57560700,53166000,10986800,4856890,0,244151,29,71948800,0,16838,6837,1305000,"300,116",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,1,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,KJFK,"NEW YORK, NEW YORK",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,7625,242,44696,0,0,65170900,58933600,10782000,5649470,0,239599,31,345455000,0,0,8432,1395000,"300,534",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,1,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,11145,312,209369,0,4610,77957500,74861000,14206500,8174760,0,315699,47,1406330000,0,30965400,11606,2115000,"395,033",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,1,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,8096,239,299564,868,3303,72835700,66743400,11500400,8503730,0,255564,31,2469610000,7155790,27229900,8835,1395000,"308,201",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,1,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,KJFK,"NEW YORK, NEW YORK",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,8312,144,293829,0,0,67711400,63703200,10691300,7985180,0,237584,31,2251910000,0,0,8835,1395000,"297,884",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,1,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,24118,682,1018564,0,38038,172081000,158552000,29517300,21215700,0,604808,92,6696040000,0,250062000,26176,4490000,"763,352",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,2,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,1089,53,18858,0,171,9850230,9168290,1894280,985349,0,42095,5,158765000,0,1439650,1170,225000,"50,833",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,2,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,6827,326,169732,0,1342,65787100,56281800,10387400,6475680,0,230832,28,1399270000,0,11063400,7980,1260000,"279,68",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,2,KJFK,"NEW YORK, NEW YORK",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,6780,260,72298,0,3535,58864100,52402600,9738540,5302340,0,216412,28,558791000,0,27322000,7616,1260000,"263,566",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,2,KJFK,"NEW YORK, NEW YORK",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,6860,148,209617,0,5573,61158700,52575000,9656640,6380960,0,214592,28,1606500000,0,42711500,7980,1260000,"264,182",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,2,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,9251,234,146266,0,5843,66276600,62139000,12090600,6614200,0,268680,40,982469000,0,39247400,9867,1800000,"328,767",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,2,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,20568,808,570024,0,4532,156514000,135214000,26821900,15946400,0,552216,84,3747340000,0,29793400,23808,4080000,"702,418",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,2,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,909,25,12288,0,0,7880180,7652870,1515420,792209,0,33676,4,103453000,0,0,936,180000,"42,983",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,2,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,KJFK,"NEW YORK, NEW YORK",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,5239,262,91484,0,0,58864100,40492200,9738540,4351370,0,216412,28,707080000,0,0,7616,1260000,"271,783",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,2,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,8319,335,333922,0,7077,65934000,55878700,12090600,7319560,0,268680,40,2242950000,0,47536200,9816,1800000,"338,114",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,2,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,6773,248,320629,0,2952,65787100,55836600,10387400,7692880,0,230832,28,2643270000,0,24336300,7980,1260000,"285,983",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,2,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,KJFK,"NEW YORK, NEW YORK",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,5914,155,254867,0,7149,61158700,45324900,9656640,6087320,0,214592,28,1953300000,0,54789900,7980,1260000,"271,115",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,2,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,18208,592,1133234,0,20965,156514000,119699000,26821900,18360600,0,552216,84,7449880000,0,137824000,23808,4080000,"698,706",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,3,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,5204,354,39094,0,593,55910600,43812500,10607900,4277230,0,235732,28,329132000,0,4992470,6641,1260000,"280,834",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,3,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,7191,315,232890,0,1220,72283400,59282600,11500400,7265420,0,255564,31,1919950000,0,10057700,8768,1395000,"309,867",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,3,KJFK,"NEW YORK, NEW YORK",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,6403,403,56103,0,3954,60966400,49488800,10086300,4918160,0,224141,29,433620000,0,30560500,7888,1305000,"270,201",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,3,KJFK,"NEW YORK, NEW YORK",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,7252,159,301331,0,6227,67611800,55579300,10691300,7359250,0,237584,31,2309400000,0,47723700,8822,1395000,"293,982",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,3,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,9715,366,96631,0,7298,73497400,65255700,13299700,6571080,0,295548,44,649071000,0,49020700,10942,1980000,"360,2",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,3,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,NÃO REGULAR,250,8,9855,0,0,1788130,1643500,295830,212701,0,6574,1,64786800,0,0,272,45000,"8,733",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,3,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,20985,705,903626,0,5162,165165000,137955000,28366800,18390300,0,585086,89,5940440000,0,33935000,25124,4315000,"741,352",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,3,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,5819,414,14283,0,0,57560700,48990200,10986800,4529350,0,244151,29,120249000,0,0,6837,1305000,"313,301",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,3,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,KJFK,"NEW YORK, NEW YORK",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,6695,400,161764,0,0,60966400,51745700,10086300,5907370,0,224141,29,1250270000,0,0,7888,1305000,"280,9",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,3,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,9904,404,354344,0,3355,73242100,66525200,13299700,8389900,0,295548,44,2380130000,0,22535500,10904,1980000,"376,416",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,3,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,7522,374,331712,0,2988,72308100,62011400,11500400,8340270,0,255564,31,2734630000,0,24633100,8771,1395000,"320,882",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,3,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,KJFK,"NEW YORK, NEW YORK",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,7336,202,346108,0,2288,67512200,56223100,10691300,7730170,0,237584,31,2652570000,0,17535200,8809,1395000,"294,466",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,3,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,20550,788,1233113,0,35783,170740000,135096000,29320000,20500300,0,604808,92,8106490000,0,235237000,25972,4460000,"773,835",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,4,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,6849,289,235337,0,1669,70486200,56463200,11129400,7035550,0,247320,30,1940120000,0,13759200,8550,1350000,"307,316",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,4,KIAH,"HOUSTON, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,NÃO REGULAR,0,0,0,0,0,103170,100998,16290,12061,0,362,1,2838440,0,133578,285,45000,"1,617",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,4,KJFK,"NEW YORK, NEW YORK",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,6621,185,242476,0,5933,65504200,50743300,10346400,6470690,0,229920,30,1858340000,0,45470500,8547,1350000,"285,418",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,4,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,7101,218,162013,0,10158,52970300,47697400,8765680,5449220,0,194793,29,1088240000,0,68231300,7886,1305000,"238,9",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,4,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,13383,562,544529,26,3414,104901000,87979900,19426200,11520300,0,387866,59,3579730000,170924,22443600,15957,2955000,"487,837",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,4,SBEG,MANAUS,AM,NORTE,BRASIL,AMÉRICA DO SUL,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,0,0,0,0,0,1588880,1555420,250875,173298,0,5575,1,32368400,0,942175,285,45000,"7,017",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,4,SBGL,RIO DE JANEIRO,RJ,SUDESTE,BRASIL,AMÉRICA DO SUL,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,7755,237,330584,0,3551,54810700,52090300,9067950,6932500,0,201510,30,2220530000,0,23852100,8160,1350000,"254,416",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,4,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,NÃO REGULAR,279,6,7841,0,369,,,,,,,,,,,,,,0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,4,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,KDFW,"DALLAS & FORT WORTH, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,7879,246,281185,0,2728,65787100,62654400,10387400,7930200,0,230832,28,2270220000,0,21096400,7980,1260000,"291,035",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,4,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,KIAH,"HOUSTON, TEXAS",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,NÃO REGULAR,0,0,0,0,0,2252920,2205500,355725,263394,0,7905,1,61983100,0,2916940,285,45000,"9,617",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,4,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,KJFK,"NEW YORK, NEW YORK",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,8148,144,336105,0,11915,65527200,62446300,10346400,8287380,0,229920,30,2575910000,0,91316600,8550,1350000,"282,701",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,4,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,KMIA,"MIAMI, FLORIDA",,,ESTADOS UNIDOS DA AMÉRICA,AMÉRICA DO NORTE,INTERNACIONAL,REGULAR,15227,476,864573,0,29238,106104000,100102000,19722000,14885100,0,394440,60,5683700000,0,192211000,16140,3000000,"501,5",0
AAL,"AMERICAN AIRLINES, INC.",ESTRANGEIRA,2025,4,SBGR,GUARULHOS,SP,SUDESTE,BRASIL,AMÉRICA DO SUL,SBEG,MANAUS,AM,NORTE,BRASIL,AMÉRICA DO SUL,INTERNACIONAL,REGULAR,0,0,0,0,0,768645,752463,121365,83836,0,2697,1,15658800,0,455793,285,45000,"5,333",0
ABJ,ATA - AEROTÁXI ABAETÉ LTDA.,BRASILEIRA,2025,1,SBSV,SALVADOR,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,SBSV,SALVADOR,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,DOMÉSTICA,REGULAR,0,0,0,0,0,,,,,,,,,,,,,,0
ABJ,ATA - AEROTÁXI ABAETÉ LTDA.,BRASILEIRA,2025,1,SBSV,SALVADOR,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,SDLO,CAIRU,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,DOMÉSTICA,REGULAR,35,0,0,0,0,4455,3465,520,257,580,495,5,0,0,0,45,5275,"2,334",0
ABJ,ATA - AEROTÁXI ABAETÉ LTDA.,BRASILEIRA,2025,1,SBSV,SALVADOR,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,SIRI,MARAÚ,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,DOMÉSTICA,REGULAR,42,0,0,0,0,5805,5418,680,405,580,645,5,0,0,0,45,5275,"2,933",0
ABJ,ATA - AEROTÁXI ABAETÉ LTDA.,BRASILEIRA,2025,1,SBSV,SALVADOR,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,SNCL,CAIRU,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,DOMÉSTICA,REGULAR,453,5,0,0,0,68724,37599,8372,2782,6808,7636,92,0,0,0,828,101200,"35,801",0
ABJ,ATA - AEROTÁXI ABAETÉ LTDA.,BRASILEIRA,2025,1,SDLO,CAIRU,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,SBSV,SALVADOR,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,DOMÉSTICA,REGULAR,44,0,0,0,0,5346,4356,624,322,696,594,6,0,0,0,54,6330,"3,017",0
ABJ,ATA - AEROTÁXI ABAETÉ LTDA.,BRASILEIRA,2025,1,SDLO,CAIRU,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,SIRI,MARAÚ,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,DOMÉSTICA,REGULAR,28,0,0,0,0,1368,1064,156,77,228,152,4,0,0,0,36,4180,"0,6",0
ABJ,ATA - AEROTÁXI ABAETÉ LTDA.,BRASILEIRA,2025,1,SIRI,MARAÚ,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,SBSV,SALVADOR,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,DOMÉSTICA,REGULAR,26,0,0,0,0,4644,3354,544,250,464,516,4,0,0,0,36,4220,"2,6",0
ABJ,ATA - AEROTÁXI ABAETÉ LTDA.,BRASILEIRA,2025,1,SIRI,MARAÚ,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,SDLO,CAIRU,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,DOMÉSTICA,REGULAR,38,0,0,0,0,1710,1444,195,105,285,190,5,0,0,0,45,5225,"1,233",0
ABJ,ATA - AEROTÁXI ABAETÉ LTDA.,BRASILEIRA,2025,1,SNCL,CAIRU,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,SBSV,SALVADOR,BA,NORDESTE,BRASIL,AMÉRICA DO SUL,DOMÉSTICA,REGULAR,689,0,0,0,0,68724,57187,8372,4256,6808,7636,92,0,0,0,828,101200,"42,222",0
